[12:37:06] [ASTRO_SIGNAL] [NIFTY] [NO_SIGNAL] {'status': 'NO_SIGNAL', 'reason': 'insufficient_rows_remaining', 'remaining_count': 1, 'timestamp': '2026-09-10T12:37:06.550349+05:30'}
[12:37:42] [ASTRO_SIGNAL] [NIFTY] [NO_SIGNAL] {'status': 'NO_SIGNAL', 'reason': 'insufficient_rows_remaining', 'remaining_count': 1, 'timestamp': '2026-09-10T12:37:42.529709+05:30'}
[12:38:07] [ASTRO_SIGNAL] [NIFTY] [NO_SIGNAL] {'status': 'NO_SIGNAL', 'reason': 'insufficient_rows_remaining', 'remaining_count': 1, 'timestamp': '2026-09-10T12:38:07.097948+05:30'}
[12:48:55] [ASTRO_SIGNAL] [NIFTY] [NO_SIGNAL] {'status': 'NO_SIGNAL', 'reason': 'insufficient_rows_remaining', 'remaining_count': 1, 'timestamp': '2026-09-10T12:48:55.717692+05:30'}
[13:42:03] [ASTRO_SIGNAL] [NIFTY] [EVALUATED_NO_SIGNAL] {'status': 'NO_SIGNAL', 'reason': 'cluster_mixed_or_neutral', 'directions': ['downside', 'upside', 'upside'], 'window': [{'time': '13:37:00', 'raw': 'Downside', 'normalized': 'downside'}, {'time': '13:45:00', 'raw': 'Upside', 'normalized': 'upside'}, {'time': '13:59:00', 'raw': 'Upside', 'normalized': 'upside'}], 'timestamp': '2026-09-10T13:42:03.896734+05:30'}
[13:42:05] [ASTRO_SIGNAL] [NIFTY] [EVALUATED_NO_SIGNAL] {'status': 'NO_SIGNAL', 'reason': 'cluster_mixed_or_neutral', 'directions': ['downside', 'upside', 'upside'], 'window': [{'time': '13:37:00', 'raw': 'Downside', 'normalized': 'downside'}, {'time': '13:45:00', 'raw': 'Upside', 'normalized': 'upside'}, {'time': '13:59:00', 'raw': 'Upside', 'normalized': 'upside'}], 'timestamp': '2026-09-10T13:42:05.190959+05:30'}
[13:42:08] [ASTRO_SIGNAL] [NIFTY] [EVALUATED_NO_SIGNAL] {'status': 'NO_SIGNAL', 'reason': 'cluster_mixed_or_neutral', 'directions': ['downside', 'upside', 'upside'], 'window': [{'time': '13:37:00', 'raw': 'Downside', 'normalized': 'downside'}, {'time': '13:45:00', 'raw': 'Upside', 'normalized': 'upside'}, {'time': '13:59:00', 'raw': 'Upside', 'normalized': 'upside'}], 'timestamp': '2026-09-10T13:42:08.901616+05:30'}
[13:42:09] [ASTRO_SIGNAL] [NIFTY] [EVALUATED_NO_SIGNAL] {'status': 'NO_SIGNAL', 'reason': 'cluster_mixed_or_neutral', 'directions': ['downside', 'upside', 'upside'], 'window': [{'time': '13:37:00', 'raw': 'Downside', 'normalized': 'downside'}, {'time': '13:45:00', 'raw': 'Upside', 'normalized': 'upside'}, {'time': '13:59:00', 'raw': 'Upside', 'normalized': 'upside'}], 'timestamp': '2026-09-10T13:42:09.530147+05:30'}
[13:42:13] [ASTRO_SIGNAL] [NIFTY] [EVALUATED_NO_SIGNAL] {'status': 'NO_SIGNAL', 'reason': 'cluster_mixed_or_neutral', 'directions': ['downside', 'upside', 'upside'], 'window': [{'time': '13:37:00', 'raw': 'Downside', 'normalized': 'downside'}, {'time': '13:45:00', 'raw': 'Upside', 'normalized': 'upside'}, {'time': '13:59:00', 'raw': 'Upside', 'normalized': 'upside'}], 'timestamp': '2026-09-10T13:42:13.670616+05:30'}
[13:42:14] [ASTRO_SIGNAL] [NIFTY] [EVALUATED_NO_SIGNAL] {'status': 'NO_SIGNAL', 'reason': 'cluster_mixed_or_neutral', 'directions': ['downside', 'upside', 'upside'], 'window': [{'time': '13:37:00', 'raw': 'Downside', 'normalized': 'downside'}, {'time': '13:45:00', 'raw': 'Upside', 'normalized': 'upside'}, {'time': '13:59:00', 'raw': 'Upside', 'normalized': 'upside'}], 'timestamp': '2026-09-10T13:42:14.261289+05:30'}
[13:42:18] [ASTRO_SIGNAL] [NIFTY] [EVALUATED_NO_SIGNAL] {'status': 'NO_SIGNAL', 'reason': 'cluster_mixed_or_neutral', 'directions': ['downside', 'upside', 'upside'], 'window': [{'time': '13:37:00', 'raw': 'Downside', 'normalized': 'downside'}, {'time': '13:45:00', 'raw': 'Upside', 'normalized': 'upside'}, {'time': '13:59:00', 'raw': 'Upside', 'normalized': 'upside'}], 'timestamp': '2026-09-10T13:42:18.665586+05:30'}
[13:42:19] [ASTRO_SIGNAL] [NIFTY] [EVALUATED_NO_SIGNAL] {'status': 'NO_SIGNAL', 'reason': 'cluster_mixed_or_neutral', 'directions': ['downside', 'upside', 'upside'], 'window': [{'time': '13:37:00', 'raw': 'Downside', 'normalized': 'downside'}, {'time': '13:45:00', 'raw': 'Upside', 'normalized': 'upside'}, {'time': '13:59:00', 'raw': 'Upside', 'normalized': 'upside'}], 'timestamp': '2026-09-10T13:42:19.067980+05:30'}
[13:42:23] [ASTRO_SIGNAL] [NIFTY] [EVALUATED_NO_SIGNAL] {'status': 'NO_SIGNAL', 'reason': 'cluster_mixed_or_neutral', 'directions': ['downside', 'upside', 'upside'], 'window': [{'time': '13:37:00', 'raw': 'Downside', 'normalized': 'downside'}, {'time': '13:45:00', 'raw': 'Upside', 'normalized': 'upside'}, {'time': '13:59:00', 'raw': 'Upside', 'normalized': 'upside'}], 'timestamp': '2026-09-10T13:42:23.671396+05:30'}
[13:42:23] [ASTRO_SIGNAL] [NIFTY] [EVALUATED_NO_SIGNAL] {'status': 'NO_SIGNAL', 'reason': 'cluster_mixed_or_neutral', 'directions': ['downside', 'upside', 'upside'], 'window': [{'time': '13:37:00', 'raw': 'Downside', 'normalized': 'downside'}, {'time': '13:45:00', 'raw': 'Upside', 'normalized': 'upside'}, {'time': '13:59:00', 'raw': 'Upside', 'normalized': 'upside'}], 'timestamp': '2026-09-10T13:42:23.710356+05:30'}
